V, I
0,-2
1,-2
2,-1
4,0
8.5,1
8,0
10.5,4
11.5,4
13,5
14.5,6
15,7
16,8
17,8
17.5,8
18.5,7
19,6
19.5,5
20,3
20.5,0
21,-1
22,-3
23,-5
24,-7
26,-2
28,4
29.5,9
31,15
32.5,20
33.5,22
35,25
36,25
36.5,24
37,21
37.5,20
38,17
38.5,14
39,8
39.5,6
40,4
40.5,0
41,-3
42,-9
43,-12
43.5,-13
45,-12
46,-8
47,-2
48,5
49,12
50,21
51,31
52,43
53,51
54,56
55.5,56
56,55
56.5,53
57,52
57.5,48
58,45
58.5,40
59.5,36
60,32
61,29
62,28
63,28
63.5,30
64,32
65,42
66,52
67,65
68,86
69,123
70,153
71,181
72,208
73,245
74,271
75,315
76,351
77,399
78,400
80,400
