V, I
0,-1
1,-1
2,-1
3,-1
5,-1
6,0
7,2
8,4
9,6
10,7
11,8
12,8
13,9
15,10
16,10
17,11
18,11
19,10
19.5,8
20,6
20.5,3
21,0
22,-2
23,0
24,4
25,6
26,13
27,18
28,24
29,29
30,36
31,39
32,44
33,50
34,55
35,58
36,59
37,54
37.5,51
38,48
38,43
39,40
39.5,40
40,40
40.5,40
41,40
41.5,42
42,46
42.5,50
43,56
44,72
45,93
46,110
47,132
48,169
49,187
50,214
51,239
52,266
53,285
54,300
55,311
56,331
57,344
58,360
59,391
59.5,400
60,400
