X,CH1,CH2,
Second,Volt,Volt,
2.13640e-04,2.56e+00,2.20e-01,
2.13642e-04,2.56e+00,-2.00e-02,
2.13644e-04,2.72e+00,-3.40e-01,
2.13646e-04,2.56e+00,-4.60e-01,
2.13648e-04,2.56e+00,-4.80e-01,
2.13650e-04,2.64e+00,-4.00e-01,
2.13652e-04,2.72e+00,-3.20e-01,
2.13654e-04,2.72e+00,-2.40e-01,
2.13656e-04,2.56e+00,-1.20e-01,
2.13658e-04,2.48e+00,6.00e-02,
2.13660e-04,2.56e+00,2.60e-01,
2.13662e-04,2.48e+00,4.00e-01,
2.13664e-04,2.56e+00,4.20e-01,
2.13666e-04,2.40e+00,4.40e-01,
2.13668e-04,2.48e+00,4.00e-01,
2.13670e-04,2.48e+00,3.40e-01,
2.13672e-04,2.40e+00,3.20e-01,
2.13674e-04,2.40e+00,3.00e-01,
2.13676e-04,2.48e+00,2.80e-01,
2.13678e-04,2.56e+00,2.00e-02,
2.13680e-04,2.64e+00,-2.80e-01,
2.13682e-04,2.56e+00,-4.40e-01,
2.13684e-04,2.48e+00,-4.60e-01,
2.13686e-04,2.56e+00,-4.20e-01,
2.13688e-04,2.72e+00,-3.80e-01,
2.13690e-04,2.72e+00,-2.40e-01,
2.13692e-04,2.56e+00,-1.40e-01,
2.13694e-04,2.48e+00,0.00e+00,
2.13696e-04,2.56e+00,2.40e-01,
2.13698e-04,2.56e+00,3.80e-01,
2.13700e-04,2.56e+00,4.20e-01,
2.13702e-04,2.56e+00,4.20e-01,
2.13704e-04,2.48e+00,3.80e-01,
2.13706e-04,2.48e+00,3.60e-01,
2.13708e-04,2.48e+00,3.00e-01,
2.13710e-04,2.48e+00,3.00e-01,
2.13712e-04,2.48e+00,3.00e-01,
2.13714e-04,2.64e+00,1.00e-01,
2.13716e-04,2.64e+00,-2.00e-01,
2.13718e-04,2.64e+00,-4.40e-01,
2.13720e-04,2.56e+00,-4.60e-01,
2.13722e-04,2.56e+00,-4.40e-01,
2.13724e-04,2.72e+00,-3.80e-01,
2.13726e-04,2.72e+00,-2.80e-01,
2.13728e-04,2.64e+00,-2.00e-01,
2.13730e-04,2.48e+00,-6.00e-02,
2.13732e-04,2.48e+00,1.60e-01,
2.13734e-04,2.56e+00,3.40e-01,
2.13736e-04,2.56e+00,4.40e-01,
2.13738e-04,2.56e+00,4.20e-01,
2.13740e-04,2.48e+00,4.00e-01,
2.13742e-04,2.56e+00,3.80e-01,
2.13744e-04,2.40e+00,3.00e-01,
2.13746e-04,2.48e+00,3.20e-01,
2.13748e-04,2.48e+00,3.00e-01,
2.13750e-04,2.64e+00,1.60e-01,
2.13752e-04,2.64e+00,-1.40e-01,
2.13754e-04,2.64e+00,-4.00e-01,
2.13756e-04,2.56e+00,-4.60e-01,
2.13758e-04,2.56e+00,-4.60e-01,
2.13760e-04,2.64e+00,-3.80e-01,
2.13762e-04,2.72e+00,-3.00e-01,
2.13764e-04,2.72e+00,-2.20e-01,
2.13766e-04,2.56e+00,-1.00e-01,
2.13768e-04,2.48e+00,1.20e-01,
2.13770e-04,2.56e+00,3.20e-01,
2.13772e-04,2.56e+00,4.20e-01,
2.13774e-04,2.56e+00,4.20e-01,
2.13776e-04,2.48e+00,4.20e-01,
2.13778e-04,2.48e+00,3.80e-01,
2.13780e-04,2.48e+00,3.20e-01,
2.13782e-04,2.40e+00,3.00e-01,
2.13784e-04,2.40e+00,3.00e-01,
2.13786e-04,2.56e+00,2.20e-01,
2.13788e-04,2.64e+00,-7.99e-02,
2.13790e-04,2.64e+00,-3.60e-01,
2.13792e-04,2.56e+00,-4.60e-01,
2.13794e-04,2.48e+00,-4.60e-01,
2.13796e-04,2.64e+00,-4.00e-01,
2.13798e-04,2.80e+00,-3.40e-01,
2.13800e-04,2.72e+00,-2.20e-01,
2.13802e-04,2.56e+00,-7.99e-02,
2.13804e-04,2.48e+00,6.00e-02,
2.13806e-04,2.56e+00,2.80e-01,
2.13808e-04,2.64e+00,4.00e-01,
2.13810e-04,2.56e+00,4.20e-01,
2.13812e-04,2.56e+00,4.20e-01,
2.13814e-04,2.40e+00,3.80e-01,
2.13816e-04,2.40e+00,3.60e-01,
2.13818e-04,2.40e+00,3.00e-01,
2.13820e-04,2.40e+00,3.20e-01,
2.13822e-04,2.48e+00,2.60e-01,
2.13824e-04,2.64e+00,0.00e+00,
2.13826e-04,2.64e+00,-2.80e-01,
2.13828e-04,2.56e+00,-4.60e-01,
2.13830e-04,2.48e+00,-4.60e-01,
2.13832e-04,2.56e+00,-4.20e-01,
2.13834e-04,2.72e+00,-3.60e-01,
2.13836e-04,2.72e+00,-2.40e-01,
2.13838e-04,2.64e+00,-1.60e-01,
2.13840e-04,2.48e+00,2.00e-02,
2.13842e-04,2.56e+00,2.60e-01,
2.13844e-04,2.56e+00,3.80e-01,
2.13846e-04,2.56e+00,4.40e-01,
2.13848e-04,2.48e+00,4.00e-01,
2.13850e-04,2.48e+00,4.00e-01,
2.13852e-04,2.40e+00,3.40e-01,
2.13854e-04,2.40e+00,3.00e-01,
2.13856e-04,2.40e+00,3.20e-01,
2.13858e-04,2.48e+00,2.60e-01,
2.13860e-04,2.64e+00,4.00e-02,
2.13862e-04,2.72e+00,-2.40e-01,
2.13864e-04,2.56e+00,-4.40e-01,
2.13866e-04,2.56e+00,-4.40e-01,
2.13868e-04,2.56e+00,-4.40e-01,
2.13870e-04,2.80e+00,-3.80e-01,
