Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.0043199e-01,3.48000e+00,5.04000e-01,
2.0043299e-01,3.48000e+00,5.04000e-01,
2.0043398e-01,3.48000e+00,5.04000e-01,
2.0043498e-01,3.48000e+00,5.04000e-01,
2.0043598e-01,3.48000e+00,5.04000e-01,
2.0043698e-01,3.48000e+00,5.04000e-01,
2.0043798e-01,3.48000e+00,5.04000e-01,
2.0043898e-01,3.48000e+00,5.04000e-01,
2.0043997e-01,3.48000e+00,5.04000e-01,
2.0044097e-01,3.48000e+00,5.04000e-01,
2.0044197e-01,3.48000e+00,5.04000e-01,
2.0044297e-01,3.48000e+00,5.04000e-01,
2.0044397e-01,3.48000e+00,5.04000e-01,
2.0044497e-01,3.48000e+00,5.04000e-01,
2.0044596e-01,3.48000e+00,5.04000e-01,
2.0044696e-01,3.48000e+00,5.04000e-01,
2.0044796e-01,3.48000e+00,5.04000e-01,
2.0044896e-01,3.48000e+00,5.04000e-01,
2.0044996e-01,3.48000e+00,5.04000e-01,
2.0045096e-01,3.48000e+00,5.04000e-01,
2.0045196e-01,3.48000e+00,5.04000e-01,
2.0045295e-01,3.48000e+00,5.04000e-01,
2.0045395e-01,3.48000e+00,5.04000e-01,
2.0045495e-01,3.48000e+00,5.04000e-01,
2.0045595e-01,3.48000e+00,5.04000e-01,
2.0045695e-01,3.48000e+00,5.04000e-01,
2.0045795e-01,3.48000e+00,5.04000e-01,
2.0045894e-01,3.48000e+00,5.04000e-01,
2.0045994e-01,3.48000e+00,5.04000e-01,
2.0046094e-01,3.48000e+00,5.04000e-01,
2.0046194e-01,3.48000e+00,5.04000e-01,
2.0046294e-01,3.48000e+00,5.04000e-01,
2.0046394e-01,3.48000e+00,5.04000e-01,
2.0046493e-01,3.48000e+00,5.04000e-01,
2.0046593e-01,3.48000e+00,5.04000e-01,
2.0046693e-01,3.48000e+00,5.04000e-01,
2.0046793e-01,3.48000e+00,5.04000e-01,
2.0046893e-01,3.48000e+00,5.04000e-01,
2.0046993e-01,3.48000e+00,5.04000e-01,
2.0047092e-01,3.48000e+00,5.04000e-01,
2.0047192e-01,3.48000e+00,5.04000e-01,
2.0047292e-01,3.48000e+00,5.04000e-01,
2.0047392e-01,3.48000e+00,5.04000e-01,
2.0047492e-01,3.48000e+00,5.04000e-01,
2.0047592e-01,3.48000e+00,5.04000e-01,
2.0047691e-01,3.48000e+00,5.04000e-01,
2.0047791e-01,3.48000e+00,5.04000e-01,
2.0047891e-01,3.48000e+00,5.04000e-01,
2.0047991e-01,3.48000e+00,5.04000e-01,
2.0048091e-01,3.48000e+00,5.04000e-01,
2.0048191e-01,3.48000e+00,5.04000e-01,
2.0048290e-01,3.48000e+00,5.04000e-01,
2.0048390e-01,3.48000e+00,5.04000e-01,
2.0048490e-01,3.48000e+00,5.04000e-01,
2.0048590e-01,3.48000e+00,5.04000e-01,
2.0048690e-01,3.48000e+00,5.04000e-01,
2.0048790e-01,3.48000e+00,5.04000e-01,
2.0048890e-01,3.48000e+00,5.04000e-01,
2.0048989e-01,3.48000e+00,5.04000e-01,
2.0049089e-01,3.48000e+00,5.04000e-01,
2.0049189e-01,3.48000e+00,5.04000e-01,
2.0049289e-01,3.48000e+00,5.04000e-01,
2.0049389e-01,3.48000e+00,5.04000e-01,
2.0049489e-01,3.48000e+00,5.04000e-01,
2.0049588e-01,3.48000e+00,5.04000e-01,
2.0049688e-01,3.48000e+00,5.04000e-01,
2.0049788e-01,3.48000e+00,5.04000e-01,
2.0049888e-01,3.48000e+00,5.04000e-01,
2.0049988e-01,3.48000e+00,5.04000e-01,
2.0050088e-01,3.48000e+00,5.04000e-01,
2.0050187e-01,3.48000e+00,5.04000e-01,
2.0050287e-01,3.48000e+00,5.04000e-01,
2.0050387e-01,3.48000e+00,5.04000e-01,
2.0050487e-01,3.48000e+00,5.04000e-01,
2.0050587e-01,3.48000e+00,5.04000e-01,
2.0050687e-01,3.48000e+00,5.04000e-01,
2.0050786e-01,3.48000e+00,5.04000e-01,
2.0050886e-01,3.48000e+00,5.04000e-01,
2.0050986e-01,3.48000e+00,5.04000e-01,
2.0051086e-01,3.48000e+00,5.04000e-01,
2.0051186e-01,3.48000e+00,5.04000e-01,
2.0051286e-01,3.48000e+00,5.04000e-01,
2.0051385e-01,3.48000e+00,5.04000e-01,
2.0051485e-01,3.48000e+00,5.04000e-01,
2.0051585e-01,3.48000e+00,5.04000e-01,
2.0051685e-01,3.48000e+00,5.04000e-01,
2.0051785e-01,3.48000e+00,5.04000e-01,
2.0051885e-01,3.48000e+00,5.04000e-01,
2.0051984e-01,3.48000e+00,5.04000e-01,
2.0052084e-01,3.48000e+00,5.04000e-01,
2.0052184e-01,3.48000e+00,5.04000e-01,
2.0052284e-01,3.48000e+00,5.04000e-01,
2.0052384e-01,3.48000e+00,5.04000e-01,
2.0052484e-01,3.48000e+00,5.04000e-01,
2.0052584e-01,3.48000e+00,5.04000e-01,
2.0052683e-01,3.48000e+00,5.04000e-01,
2.0052783e-01,3.48000e+00,5.04000e-01,
2.0052883e-01,3.48000e+00,5.04000e-01,
2.0052983e-01,3.48000e+00,5.04000e-01,
2.0053083e-01,3.48000e+00,5.04000e-01,
2.0053183e-01,3.48000e+00,5.04000e-01,
2.0053282e-01,3.48000e+00,5.04000e-01,
2.0053382e-01,3.48000e+00,5.04000e-01,
2.0053482e-01,3.48000e+00,5.04000e-01,
2.0053582e-01,3.48000e+00,5.04000e-01,
2.0053682e-01,3.48000e+00,5.04000e-01,
2.0053782e-01,3.44000e+00,5.04000e-01,
2.0053881e-01,3.40000e+00,4.96000e-01,
2.0053981e-01,3.36000e+00,4.96000e-01,
2.0054081e-01,3.36000e+00,4.88000e-01,
2.0054181e-01,3.32000e+00,4.88000e-01,
2.0054281e-01,3.28000e+00,4.80000e-01,
2.0054381e-01,3.24000e+00,4.80000e-01,
2.0054480e-01,3.24000e+00,4.72000e-01,
2.0054580e-01,3.20000e+00,4.72000e-01,
2.0054680e-01,3.16000e+00,4.64000e-01,
2.0054780e-01,3.12000e+00,4.64000e-01,
2.0054880e-01,3.08000e+00,4.56000e-01,
2.0054980e-01,3.08000e+00,4.56000e-01,
2.0055079e-01,3.04000e+00,4.48000e-01,
2.0055179e-01,3.00000e+00,4.48000e-01,
2.0055279e-01,2.96000e+00,4.40000e-01,
2.0055379e-01,2.96000e+00,4.40000e-01,
2.0055479e-01,2.92000e+00,4.32000e-01,
2.0055579e-01,2.88000e+00,4.32000e-01,
2.0055678e-01,2.84000e+00,4.24000e-01,
2.0055778e-01,2.80000e+00,4.24000e-01,
2.0055878e-01,2.80000e+00,4.16000e-01,
2.0055978e-01,2.76000e+00,4.16000e-01,
2.0056078e-01,2.72000e+00,4.08000e-01,
2.0056178e-01,2.68000e+00,4.08000e-01,
2.0056278e-01,2.68000e+00,4.08000e-01,
2.0056377e-01,2.64000e+00,4.00000e-01,
2.0056477e-01,2.60000e+00,4.00000e-01,
2.0056577e-01,2.56000e+00,3.92000e-01,
2.0056677e-01,2.56000e+00,3.92000e-01,
2.0056777e-01,2.52000e+00,3.84000e-01,
2.0056877e-01,2.48000e+00,3.84000e-01,
2.0056976e-01,2.44000e+00,3.76000e-01,
2.0057076e-01,2.40000e+00,3.76000e-01,
2.0057176e-01,2.40000e+00,3.68000e-01,
2.0057276e-01,2.36000e+00,3.68000e-01,
2.0057376e-01,2.32000e+00,3.60000e-01,
2.0057476e-01,2.28000e+00,3.60000e-01,
2.0057575e-01,2.28000e+00,3.52000e-01,
2.0057675e-01,2.24000e+00,3.52000e-01,
2.0057775e-01,2.20000e+00,3.44000e-01,
2.0057875e-01,2.16000e+00,3.44000e-01,
2.0057975e-01,2.12000e+00,3.36000e-01,
2.0058075e-01,2.12000e+00,3.36000e-01,
2.0058174e-01,2.08000e+00,3.28000e-01,
2.0058274e-01,2.04000e+00,3.28000e-01,
2.0058374e-01,2.00000e+00,3.20000e-01,
2.0058474e-01,2.00000e+00,3.20000e-01,
2.0058574e-01,1.96000e+00,3.12000e-01,
2.0058674e-01,1.92000e+00,3.12000e-01,
2.0058773e-01,1.88000e+00,3.12000e-01,
2.0058873e-01,1.88000e+00,3.04000e-01,
2.0058973e-01,1.84000e+00,3.04000e-01,
2.0059073e-01,1.80000e+00,2.96000e-01,
2.0059173e-01,1.76000e+00,2.96000e-01,
2.0059273e-01,1.72000e+00,2.88000e-01,
2.0059372e-01,1.72000e+00,2.88000e-01,
2.0059472e-01,1.68000e+00,2.80000e-01,
2.0059572e-01,1.64000e+00,2.80000e-01,
2.0059672e-01,1.60000e+00,2.72000e-01,
2.0059772e-01,1.60000e+00,2.72000e-01,
2.0059872e-01,1.56000e+00,2.64000e-01,
2.0059972e-01,1.52000e+00,2.64000e-01,
2.0060071e-01,1.48000e+00,2.56000e-01,
2.0060171e-01,1.44000e+00,2.56000e-01,
2.0060271e-01,1.44000e+00,2.48000e-01,
2.0060371e-01,1.40000e+00,2.48000e-01,
2.0060471e-01,1.36000e+00,2.40000e-01,
2.0060571e-01,1.32000e+00,2.40000e-01,
2.0060670e-01,1.32000e+00,2.32000e-01,
2.0060770e-01,1.28000e+00,2.32000e-01,
2.0060870e-01,1.24000e+00,2.24000e-01,
2.0060970e-01,1.20000e+00,2.24000e-01,
2.0061070e-01,1.16000e+00,2.16000e-01,
2.0061170e-01,1.16000e+00,2.16000e-01,
2.0061269e-01,1.12000e+00,2.16000e-01,
2.0061369e-01,1.08000e+00,2.08000e-01,
2.0061469e-01,1.04000e+00,2.08000e-01,
2.0061569e-01,1.04000e+00,2.00000e-01,
2.0061669e-01,1.00000e+00,2.00000e-01,
2.0061769e-01,9.60001e-01,1.92000e-01,
2.0061868e-01,9.20001e-01,1.92000e-01,
2.0061968e-01,9.20001e-01,1.84000e-01,
2.0062068e-01,8.80000e-01,1.84000e-01,
2.0062168e-01,8.40000e-01,1.76000e-01,
2.0062268e-01,8.00000e-01,1.76000e-01,
2.0062368e-01,7.60000e-01,1.68000e-01,
2.0062467e-01,7.60000e-01,1.68000e-01,
2.0062567e-01,7.20000e-01,1.60000e-01,
2.0062667e-01,6.80000e-01,1.60000e-01,
2.0062767e-01,6.40000e-01,1.52000e-01,
2.0062867e-01,6.40000e-01,1.52000e-01,
2.0062967e-01,6.00000e-01,1.44000e-01,
2.0063066e-01,5.60000e-01,1.44000e-01,
2.0063166e-01,5.20000e-01,1.36000e-01,
2.0063266e-01,4.80000e-01,1.36000e-01,
2.0063366e-01,4.80000e-01,1.28000e-01,
2.0063466e-01,4.40001e-01,1.28000e-01,
2.0063566e-01,4.00000e-01,1.20000e-01,
2.0063666e-01,3.60000e-01,1.20000e-01,
2.0063765e-01,3.60000e-01,1.12000e-01,
2.0063865e-01,3.20000e-01,1.12000e-01,
2.0063965e-01,2.80000e-01,1.12000e-01,
2.0064065e-01,2.40000e-01,1.04000e-01,
2.0064165e-01,2.40000e-01,1.04000e-01,
2.0064265e-01,2.00000e-01,9.60000e-02,
2.0064364e-01,1.60000e-01,9.60000e-02,
2.0064464e-01,1.20000e-01,8.79999e-02,
2.0064564e-01,8.00004e-02,8.79999e-02,
2.0064664e-01,8.00004e-02,7.99999e-02,
2.0064764e-01,4.00004e-02,7.99999e-02,
2.0064864e-01,4.76837e-07,7.19999e-02,
2.0064963e-01,-3.99995e-02,7.19999e-02,
2.0065063e-01,-3.99995e-02,6.39999e-02,
2.0065163e-01,-7.99994e-02,6.39999e-02,
2.0065263e-01,-1.20000e-01,5.59999e-02,
2.0065363e-01,-1.60000e-01,5.59999e-02,
2.0065463e-01,-2.00000e-01,4.79999e-02,
2.0065562e-01,-2.00000e-01,4.79999e-02,
2.0065662e-01,-2.40000e-01,4.00000e-02,
2.0065762e-01,-2.80000e-01,4.00000e-02,
2.0065862e-01,-3.20000e-01,3.19999e-02,
2.0065962e-01,-3.20000e-01,3.19999e-02,
2.0066062e-01,-3.60000e-01,2.39999e-02,
