Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.8735200e-03,5.44000e-01,1.88000e+00,
1.8735400e-03,5.44000e-01,1.88000e+00,
1.8735600e-03,5.44000e-01,1.88000e+00,
1.8735800e-03,5.44000e-01,1.88000e+00,
1.8736001e-03,5.44000e-01,1.88000e+00,
1.8736201e-03,5.44000e-01,1.88000e+00,
1.8736401e-03,5.44000e-01,1.88000e+00,
1.8736601e-03,5.44000e-01,1.88000e+00,
1.8736802e-03,5.44000e-01,1.88000e+00,
1.8737002e-03,5.44000e-01,1.88000e+00,
1.8737202e-03,5.44000e-01,1.88000e+00,
1.8737402e-03,5.44000e-01,1.88000e+00,
1.8737603e-03,5.44000e-01,1.88000e+00,
1.8737803e-03,5.44000e-01,1.88000e+00,
1.8738003e-03,5.44000e-01,1.88000e+00,
1.8738203e-03,5.44000e-01,1.88000e+00,
1.8738403e-03,5.44000e-01,1.88000e+00,
1.8738604e-03,5.44000e-01,1.88000e+00,
1.8738804e-03,5.44000e-01,1.88000e+00,
1.8739004e-03,5.44000e-01,1.88000e+00,
1.8739204e-03,5.44000e-01,1.88000e+00,
1.8739405e-03,5.44000e-01,1.88000e+00,
1.8739605e-03,5.44000e-01,1.88000e+00,
1.8739805e-03,5.44000e-01,1.88000e+00,
1.8740005e-03,5.44000e-01,1.88000e+00,
1.8740206e-03,5.44000e-01,1.88000e+00,
1.8740406e-03,5.44000e-01,1.88000e+00,
1.8740606e-03,5.44000e-01,1.88000e+00,
1.8740806e-03,5.44000e-01,1.88000e+00,
1.8741006e-03,5.44000e-01,1.88000e+00,
1.8741207e-03,5.44000e-01,1.88000e+00,
1.8741407e-03,5.44000e-01,1.88000e+00,
1.8741607e-03,5.44000e-01,1.88000e+00,
1.8741807e-03,5.44000e-01,1.88000e+00,
1.8742008e-03,5.44000e-01,1.88000e+00,
1.8742208e-03,5.44000e-01,1.88000e+00,
1.8742408e-03,5.44000e-01,1.88000e+00,
1.8742608e-03,5.44000e-01,1.88000e+00,
1.8742809e-03,5.44000e-01,1.88000e+00,
1.8743009e-03,5.44000e-01,1.88000e+00,
1.8743209e-03,5.44000e-01,1.88000e+00,
1.8743409e-03,5.44000e-01,1.88000e+00,
1.8743610e-03,5.44000e-01,1.88000e+00,
1.8743810e-03,5.44000e-01,1.88000e+00,
1.8744010e-03,5.44000e-01,1.88000e+00,
1.8744210e-03,5.44000e-01,1.88000e+00,
1.8744410e-03,5.44000e-01,1.88000e+00,
1.8744611e-03,5.44000e-01,1.88000e+00,
1.8744811e-03,5.44000e-01,1.88000e+00,
1.8745011e-03,5.44000e-01,1.88000e+00,
1.8745211e-03,5.44000e-01,1.88000e+00,
1.8745412e-03,5.44000e-01,1.88000e+00,
1.8745612e-03,5.44000e-01,1.88000e+00,
1.8745812e-03,5.44000e-01,1.88000e+00,
1.8746012e-03,5.44000e-01,1.88000e+00,
1.8746213e-03,5.44000e-01,1.88000e+00,
1.8746413e-03,5.44000e-01,1.88000e+00,
1.8746613e-03,5.44000e-01,1.88000e+00,
1.8746813e-03,5.44000e-01,1.88000e+00,
1.8747014e-03,5.44000e-01,1.88000e+00,
1.8747214e-03,5.44000e-01,1.88000e+00,
1.8747414e-03,5.44000e-01,1.88000e+00,
1.8747614e-03,5.44000e-01,1.88000e+00,
1.8747814e-03,5.44000e-01,1.88000e+00,
1.8748015e-03,5.44000e-01,1.88000e+00,
1.8748215e-03,5.44000e-01,1.88000e+00,
1.8748415e-03,5.44000e-01,1.88000e+00,
1.8748615e-03,5.44000e-01,1.88000e+00,
1.8748816e-03,5.44000e-01,1.88000e+00,
1.8749016e-03,5.44000e-01,1.88000e+00,
1.8749216e-03,5.44000e-01,1.88000e+00,
1.8749416e-03,5.44000e-01,1.88000e+00,
1.8749617e-03,5.44000e-01,1.88000e+00,
1.8749817e-03,5.44000e-01,1.88000e+00,
1.8750017e-03,5.44000e-01,1.88000e+00,
1.8750217e-03,5.44000e-01,1.88000e+00,
1.8750418e-03,5.44000e-01,1.88000e+00,
1.8750618e-03,5.44000e-01,1.88000e+00,
1.8750818e-03,5.44000e-01,1.88000e+00,
1.8751018e-03,5.44000e-01,1.88000e+00,
1.8751218e-03,5.44000e-01,1.88000e+00,
1.8751419e-03,5.44000e-01,1.88000e+00,
